usa_or_hhsregion	week_ending	variant	share	share_hi	share_lo	count_lt10	modeltype	time_interval	creation_date
USA	2022-07-30T00:00:00.000	BA.5	0.8546515703201294	0.8701167702674866	0.8377153873443604	NULL	smoothed	weekly	2022-08-02T00:00:00.000
USA	2021-10-23T00:00:00.000	AY.1	0.0008173388778232038	0.001242409576661885	0.0005328524857759476	NULL	smoothed	weekly	2021-11-02T00:00:00.000
USA	2021-10-23T00:00:00.000	AY.2	0.00007570801244582981	0.0001242567086592317	4.54555956821423e-05	NULL	smoothed	weekly	2021-11-02T00:00:00.000
USA	2021-10-23T00:00:00.000	B.1.1.7	0.000003037465376110049	0.000004878937033936381	1.866883735601732e-06	NULL	smoothed	weekly	2021-11-02T00:00:00.000
USA	2021-10-23T00:00:00.000	B.1.617.2	0.9920676946640015	0.9944120049476624	0.9888070821762085	NULL	smoothed	weekly	2021-11-02T00:00:00.000
USA	2021-10-23T00:00:00.000	Other	0.007036217954009771	0.01045816484838724	0.004692742601037025	NULL	smoothed	weekly	2021-11-02T00:00:00.000
USA	2021-10-30T00:00:00.000	AY.1	0.0007810365641489625	0.001215677708387375	0.0004964804975315928	NULL	smoothed	weekly	2021-11-02T00:00:00.000
USA	2021-10-30T00:00:00.000	AY.2	0.00005419492663349956	0.00009131270053330809	3.161959466524422e-05	NULL	smoothed	weekly	2021-11-02T00:00:00.000
USA	2021-10-30T00:00:00.000	B.1.1.7	0.000001507047159066133	0.000002499423544577439	8.946206548898772e-07	NULL	smoothed	weekly	2021-11-02T00:00:00.000
USA	2021-10-30T00:00:00.000	B.1.617.2	0.9921312928199768	0.9944318532943726	0.9889441132545471	NULL	smoothed	weekly	2021-11-02T00:00:00.000
USA	2021-10-30T00:00:00.000	Other	0.007031972054392099	0.0103536369279027	0.004737148992717266	NULL	smoothed	weekly	2021-11-02T00:00:00.000
USA	2021-05-08T00:00:00.000	B.1.1.529	0		NULL	1	weighted	weekly	2022-02-08T00:00:00.000
USA	2021-05-08T00:00:00.000	B.1.617.2	0.01648764126002789	0.02024087309837341	0.01326861046254635	0	weighted	weekly	2022-02-08T00:00:00.000
USA	2021-05-08T00:00:00.000	BA.2	0		NULL	1	weighted	weekly	2022-02-08T00:00:00.000
USA	2021-05-08T00:00:00.000	Other	0.9835123419761658	0.9867314100265503	0.9797590970993042	0	weighted	weekly	2022-02-08T00:00:00.000
USA	2021-05-15T00:00:00.000	B.1.1.529	0		NULL	1	weighted	weekly	2022-02-08T00:00:00.000
USA	2021-05-15T00:00:00.000	B.1.617.2	0.02389079704880714	0.03030844964087009	0.01851524412631989	0	weighted	weekly	2022-02-08T00:00:00.000
USA	2021-05-15T00:00:00.000	BA.2	0		NULL	1	weighted	weekly	2022-02-08T00:00:00.000
USA	2021-05-15T00:00:00.000	Other	0.9761092066764832	0.9814847707748413	0.9696915745735168	0	weighted	weekly	2022-02-08T00:00:00.000
USA	2021-05-22T00:00:00.000	B.1.1.529	0		NULL	1	weighted	weekly	2022-02-08T00:00:00.000
USA	2021-05-22T00:00:00.000	B.1.617.2	0.03958960250020027	0.04924951121211052	0.03135610744357109	0	weighted	weekly	2022-02-08T00:00:00.000
USA	2021-05-22T00:00:00.000	BA.2	0		NULL	1	weighted	weekly	2022-02-08T00:00:00.000
USA	2021-05-22T00:00:00.000	Other	0.9604104161262512	0.9686439037322998	0.950750470161438	0	weighted	weekly	2022-02-08T00:00:00.000
USA	2021-05-29T00:00:00.000	B.1.1.529	0		NULL	1	weighted	weekly	2022-02-08T00:00:00.000
USA	2021-05-29T00:00:00.000	B.1.617.2	0.07354424148797989	0.09193539619445801	0.05782995000481606	0	weighted	weekly	2022-02-08T00:00:00.000
USA	2021-05-29T00:00:00.000	BA.2	0		NULL	1	weighted	weekly	2022-02-08T00:00:00.000
USA	2021-05-29T00:00:00.000	Other	0.9264557361602783	0.9421700239181519	0.908064603805542	0	weighted	weekly	2022-02-08T00:00:00.000
USA	2021-06-05T00:00:00.000	B.1.1.529	0		NULL	1	weighted	weekly	2022-02-08T00:00:00.000
USA	2021-06-05T00:00:00.000	B.1.617.2	0.1467259526252747	0.1835824251174927	0.1147798746824265	0	weighted	weekly	2022-02-08T00:00:00.000
USA	2021-06-05T00:00:00.000	BA.2	0		NULL	1	weighted	weekly	2022-02-08T00:00:00.000
USA	2021-06-05T00:00:00.000	Other	0.8532740473747253	0.8852201104164124	0.8164175748825073	0	weighted	weekly	2022-02-08T00:00:00.000
USA	2021-06-12T00:00:00.000	B.1.1.529	0		NULL	1	weighted	weekly	2022-02-08T00:00:00.000
USA	2021-06-12T00:00:00.000	B.1.617.2	0.261724054813385	0.306664377450943	0.2201953232288361	0	weighted	weekly	2022-02-08T00:00:00.000
USA	2021-06-12T00:00:00.000	BA.2	0		NULL	1	weighted	weekly	2022-02-08T00:00:00.000
USA	2021-06-12T00:00:00.000	Other	0.738275945186615	0.7798046469688416	0.6933355927467346	0	weighted	weekly	2022-02-08T00:00:00.000
USA	2021-06-19T00:00:00.000	B.1.1.529	0		NULL	1	weighted	weekly	2022-02-08T00:00:00.000
USA	2021-06-19T00:00:00.000	B.1.617.2	0.3753163516521454	0.4268723428249359	0.3257749080657959	0	weighted	weekly	2022-02-08T00:00:00.000
USA	2021-06-19T00:00:00.000	BA.2	0		NULL	1	weighted	weekly	2022-02-08T00:00:00.000
USA	2021-06-19T00:00:00.000	Other	0.624683678150177	0.6742250919342041	0.5731276273727417	0	weighted	weekly	2022-02-08T00:00:00.000
USA	2021-06-26T00:00:00.000	B.1.1.529	0		NULL	1	weighted	weekly	2022-02-08T00:00:00.000
USA	2021-06-26T00:00:00.000	B.1.617.2	0.5490579605102539	0.5969861149787903	0.500444233417511	0	weighted	weekly	2022-02-08T00:00:00.000
USA	2021-06-26T00:00:00.000	BA.2	0		NULL	1	weighted	weekly	2022-02-08T00:00:00.000
USA	2021-06-26T00:00:00.000	Other	0.4509420394897461	0.499555766582489	0.4030138850212097	0	weighted	weekly	2022-02-08T00:00:00.000
USA	2021-07-03T00:00:00.000	B.1.1.529	0		NULL	1	weighted	weekly	2022-02-08T00:00:00.000
USA	2021-07-03T00:00:00.000	B.1.617.2	0.7024811506271362	0.7316533327102661	0.6720263361930847	0	weighted	weekly	2022-02-08T00:00:00.000
USA	2021-07-03T00:00:00.000	BA.2	0		NULL	1	weighted	weekly	2022-02-08T00:00:00.000
USA	2021-07-03T00:00:00.000	Other	0.2975188791751862	0.3279736638069153	0.2683466374874115	0	weighted	weekly	2022-02-08T00:00:00.000
USA	2021-07-10T00:00:00.000	B.1.1.529	0		NULL	1	weighted	weekly	2022-02-08T00:00:00.000
USA	2021-07-10T00:00:00.000	B.1.617.2	0.8217090368270874	0.8407975435256958	0.8013481497764587	0	weighted	weekly	2022-02-08T00:00:00.000
USA	2021-07-10T00:00:00.000	BA.2	0		NULL	1	weighted	weekly	2022-02-08T00:00:00.000
USA	2021-07-10T00:00:00.000	Other	0.1782909333705902	0.1986518502235413	0.1592024713754654	0	weighted	weekly	2022-02-08T00:00:00.000
USA	2021-07-17T00:00:00.000	B.1.1.529	0		NULL	1	weighted	weekly	2022-02-08T00:00:00.000
USA	2021-07-17T00:00:00.000	B.1.617.2	0.8803857564926147	0.895538330078125	0.8638884425163269	0	weighted	weekly	2022-02-08T00:00:00.000
USA	2021-07-17T00:00:00.000	BA.2	0		NULL	1	weighted	weekly	2022-02-08T00:00:00.000
USA	2021-07-17T00:00:00.000	Other	0.1196142509579659	0.1361115425825119	0.1044616922736168	0	weighted	weekly	2022-02-08T00:00:00.000
USA	2021-07-24T00:00:00.000	B.1.1.529	0		NULL	1	weighted	weekly	2022-02-08T00:00:00.000
USA	2021-07-24T00:00:00.000	B.1.617.2	0.9446905851364136	0.9511264562606812	0.9376822113990784	0	weighted	weekly	2022-02-08T00:00:00.000
USA	2021-07-24T00:00:00.000	BA.2	0		NULL	1	weighted	weekly	2022-02-08T00:00:00.000
USA	2021-07-24T00:00:00.000	Other	0.05530939623713493	0.06231778487563133	0.04887355491518974	0	weighted	weekly	2022-02-08T00:00:00.000
USA	2021-07-31T00:00:00.000	B.1.1.529	0		NULL	1	weighted	weekly	2022-02-08T00:00:00.000
USA	2021-07-31T00:00:00.000	B.1.617.2	0.9657956957817078	0.9710375666618347	0.9599063396453857	0	weighted	weekly	2022-02-08T00:00:00.000
USA	2021-07-31T00:00:00.000	BA.2	0		NULL	1	weighted	weekly	2022-02-08T00:00:00.000
USA	2021-07-31T00:00:00.000	Other	0.03420431911945343	0.04009367525577545	0.02896240539848804	0	weighted	weekly	2022-02-08T00:00:00.000
USA	2021-08-07T00:00:00.000	B.1.1.529	0		NULL	1	weighted	weekly	2022-02-08T00:00:00.000
USA	2021-08-07T00:00:00.000	B.1.617.2	0.9720046520233154	0.9783462285995483	0.9644306302070618	0	weighted	weekly	2022-02-08T00:00:00.000
USA	2021-08-07T00:00:00.000	BA.2	0		NULL	1	weighted	weekly	2022-02-08T00:00:00.000
USA	2021-08-07T00:00:00.000	Other	0.02799533866345882	0.03556935861706734	0.0216537918895483	0	weighted	weekly	2022-02-08T00:00:00.000
USA	2021-08-14T00:00:00.000	B.1.1.529	0		NULL	1	weighted	weekly	2022-02-08T00:00:00.000
USA	2021-08-14T00:00:00.000	B.1.617.2	0.9880273342132568	0.9905198812484741	0.9850867390632629	0	weighted	weekly	2022-02-08T00:00:00.000
USA	2021-08-14T00:00:00.000	BA.2	0		NULL	1	weighted	weekly	2022-02-08T00:00:00.000
USA	2021-08-14T00:00:00.000	Other	0.0119726900011301	0.01491323299705982	0.00948013924062252	0	weighted	weekly	2022-02-08T00:00:00.000
USA	2021-08-21T00:00:00.000	B.1.1.529	0		NULL	1	weighted	weekly	2022-02-08T00:00:00.000
USA	2021-08-21T00:00:00.000	B.1.617.2	0.9891795516014099	0.9923545122146606	0.9851414561271667	0	weighted	weekly	2022-02-08T00:00:00.000
USA	2021-08-21T00:00:00.000	BA.2	0		NULL	1	weighted	weekly	2022-02-08T00:00:00.000
USA	2021-08-21T00:00:00.000	Other	0.01082042511552572	0.01485852431505919	0.007645468693226576	0	weighted	weekly	2022-02-08T00:00:00.000
USA	2021-08-28T00:00:00.000	B.1.1.529	0		NULL	1	weighted	weekly	2022-02-08T00:00:00.000
USA	2021-08-28T00:00:00.000	B.1.617.2	0.9846953749656677	0.9902239441871643	0.9772152304649353	0	weighted	weekly	2022-02-08T00:00:00.000
USA	2021-08-28T00:00:00.000	BA.2	0		NULL	1	weighted	weekly	2022-02-08T00:00:00.000
USA	2021-08-28T00:00:00.000	Other	0.0153046241030097	0.02278478257358074	0.009776043705642223	0	weighted	weekly	2022-02-08T00:00:00.000
USA	2021-09-04T00:00:00.000	B.1.1.529	0		NULL	1	weighted	weekly	2022-02-08T00:00:00.000
USA	2021-09-04T00:00:00.000	B.1.617.2	0.9921329021453857	0.994769811630249	0.9886435270309448	0	weighted	weekly	2022-02-08T00:00:00.000
USA	2021-09-04T00:00:00.000	BA.2	0		NULL	1	weighted	weekly	2022-02-08T00:00:00.000
USA	2021-09-04T00:00:00.000	Other	0.00786709226667881	0.01135648228228092	0.005230207927525043	0	weighted	weekly	2022-02-08T00:00:00.000
USA	2021-09-11T00:00:00.000	B.1.1.529	0		NULL	1	weighted	weekly	2022-02-08T00:00:00.000
USA	2021-09-11T00:00:00.000	B.1.617.2	0.9934022426605225	0.9956796765327454	0.9903583526611328	0	weighted	weekly	2022-02-08T00:00:00.000
USA	2021-09-11T00:00:00.000	BA.2	0		NULL	1	weighted	weekly	2022-02-08T00:00:00.000
USA	2021-09-11T00:00:00.000	Other	0.006597773637622595	0.009641635231673717	0.004320340696722269	0	weighted	weekly	2022-02-08T00:00:00.000
USA	2021-09-18T00:00:00.000	B.1.1.529	0		NULL	1	weighted	weekly	2022-02-08T00:00:00.000
USA	2021-09-18T00:00:00.000	B.1.617.2	0.99174964427948	0.9947224259376526	0.9877204298973083	0	weighted	weekly	2022-02-08T00:00:00.000
USA	2021-09-18T00:00:00.000	BA.2	0		NULL	1	weighted	weekly	2022-02-08T00:00:00.000
USA	2021-09-18T00:00:00.000	Other	0.008250384591519833	0.0122795607894659	0.005277578253298998	0	weighted	weekly	2022-02-08T00:00:00.000
USA	2021-09-25T00:00:00.000	B.1.1.529	0		NULL	1	weighted	weekly	2022-02-08T00:00:00.000
USA	2021-09-25T00:00:00.000	B.1.617.2	0.9927114844322205	0.9952290654182434	0.9893467426300049	0	weighted	weekly	2022-02-08T00:00:00.000
USA	2021-09-25T00:00:00.000	BA.2	0		NULL	1	weighted	weekly	2022-02-08T00:00:00.000
USA	2021-09-25T00:00:00.000	Other	0.007288504391908646	0.01065324246883392	0.004770947620272636	0	weighted	weekly	2022-02-08T00:00:00.000
USA	2021-10-02T00:00:00.000	B.1.1.529	0.0005629357765428722	0.003231572220101953	1.23195113701513e-05	1	weighted	weekly	2022-02-08T00:00:00.000
USA	2021-10-02T00:00:00.000	B.1.617.2	0.9925894737243652	0.9951089024543762	0.9892398118972778	0	weighted	weekly	2022-02-08T00:00:00.000
USA	2021-10-02T00:00:00.000	BA.2	0		NULL	1	weighted	weekly	2022-02-08T00:00:00.000
USA	2021-10-02T00:00:00.000	Other	0.006847584620118141	0.01006944943219423	0.004448637831956148	0	weighted	weekly	2022-02-08T00:00:00.000
USA	2021-10-09T00:00:00.000	B.1.1.529	0.0001399235479766503	0.0008008898003026843	3.119920847893809e-06	1	weighted	weekly	2022-02-08T00:00:00.000
USA	2021-10-09T00:00:00.000	B.1.617.2	0.9919910430908203	0.9940816760063171	0.9894064664840698	0	weighted	weekly	2022-02-08T00:00:00.000
USA	2021-10-09T00:00:00.000	BA.2	0		NULL	1	weighted	weekly	2022-02-08T00:00:00.000
USA	2021-10-09T00:00:00.000	Other	0.007869034074246883	0.01043938100337982	0.005794730968773365	0	weighted	weekly	2022-02-08T00:00:00.000
USA	2021-10-16T00:00:00.000	B.1.1.529	0		NULL	1	weighted	weekly	2022-02-08T00:00:00.000
USA	2021-10-16T00:00:00.000	B.1.617.2	0.9920957684516907	0.9950457811355591	0.9880465269088745	0	weighted	weekly	2022-02-08T00:00:00.000
USA	2021-10-16T00:00:00.000	BA.2	0		NULL	1	weighted	weekly	2022-02-08T00:00:00.000
USA	2021-10-16T00:00:00.000	Other	0.007904206402599812	0.01195349078625441	0.004954222589731216	0	weighted	weekly	2022-02-08T00:00:00.000
USA	2021-10-23T00:00:00.000	B.1.1.529	0.0000222627968469169	0.0001391251716995612	3.208884038485849e-07	1	weighted	weekly	2022-02-08T00:00:00.000
USA	2021-10-23T00:00:00.000	B.1.617.2	0.9901021122932434	0.9935346245765686	0.9855126142501831	0	weighted	weekly	2022-02-08T00:00:00.000
USA	2021-10-23T00:00:00.000	BA.2	0		NULL	1	weighted	weekly	2022-02-08T00:00:00.000
USA	2021-10-23T00:00:00.000	Other	0.009875654242932796	0.01446759235113859	0.006443680264055729	0	weighted	weekly	2022-02-08T00:00:00.000
USA	2021-10-30T00:00:00.000	B.1.1.529	0.00001912061634357087	0.0001306685735471547	1.681667356479011e-07	1	weighted	weekly	2022-02-08T00:00:00.000
USA	2021-10-30T00:00:00.000	B.1.617.2	0.9926304817199707	0.9952341914176941	0.9891241788864136	0	weighted	weekly	2022-02-08T00:00:00.000
USA	2021-10-30T00:00:00.000	BA.2	0		NULL	1	weighted	weekly	2022-02-08T00:00:00.000
USA	2021-10-30T00:00:00.000	Other	0.007350421044975519	0.01085802726447582	0.004747678060084581	0	weighted	weekly	2022-02-08T00:00:00.000
USA	2021-11-06T00:00:00.000	B.1.1.529	0		NULL	1	weighted	weekly	2022-02-08T00:00:00.000
USA	2021-11-06T00:00:00.000	B.1.617.2	0.987391471862793	0.9914782643318176	0.9820475578308105	0	weighted	weekly	2022-02-08T00:00:00.000
USA	2021-11-06T00:00:00.000	BA.2	0		NULL	1	weighted	weekly	2022-02-08T00:00:00.000
USA	2021-11-06T00:00:00.000	Other	0.01260850112885237	0.01795241981744766	0.008521707728505135	0	weighted	weekly	2022-02-08T00:00:00.000
USA	2021-11-13T00:00:00.000	B.1.1.529	0		NULL	1	weighted	weekly	2022-02-08T00:00:00.000
USA	2021-11-13T00:00:00.000	B.1.617.2	0.9860085844993591	0.990394115447998	0.9803330302238464	0	weighted	weekly	2022-02-08T00:00:00.000
USA	2021-11-13T00:00:00.000	BA.2	0		NULL	1	weighted	weekly	2022-02-08T00:00:00.000
USA	2021-11-13T00:00:00.000	Other	0.0139913959428668	0.01966696046292782	0.009605883620679379	0	weighted	weekly	2022-02-08T00:00:00.000
USA	2021-11-20T00:00:00.000	B.1.1.529	0		NULL	1	weighted	weekly	2022-02-08T00:00:00.000
USA	2021-11-20T00:00:00.000	B.1.617.2	0.983930230140686	0.9887708425521851	0.9777392745018005	0	weighted	weekly	2022-02-08T00:00:00.000
USA	2021-11-20T00:00:00.000	BA.2	0		NULL	1	weighted	weekly	2022-02-08T00:00:00.000
USA	2021-11-20T00:00:00.000	Other	0.01606974191963673	0.02226069755852222	0.01122914906591177	0	weighted	weekly	2022-02-08T00:00:00.000
USA	2021-11-27T00:00:00.000	B.1.1.529	0.0006934372941032052	0.001518964534625411	0.000251588731771335	1	weighted	weekly	2022-02-08T00:00:00.000
USA	2021-11-27T00:00:00.000	B.1.617.2	0.990773618221283	0.994045615196228	0.9863647818565369	0	weighted	weekly	2022-02-08T00:00:00.000
USA	2021-11-27T00:00:00.000	BA.2	0		NULL	1	weighted	weekly	2022-02-08T00:00:00.000
USA	2021-11-27T00:00:00.000	Other	0.008532955311238766	0.01303832791745663	0.005276830866932869	0	weighted	weekly	2022-02-08T00:00:00.000
USA	2021-12-04T00:00:00.000	B.1.1.529	0.006143570877611637	0.009026330895721912	0.003996043466031551	0	weighted	weekly	2022-02-08T00:00:00.000
USA	2021-12-04T00:00:00.000	B.1.617.2	0.9919056296348572	0.9946967363357544	0.9881784319877625	0	weighted	weekly	2022-02-08T00:00:00.000
USA	2021-12-04T00:00:00.000	BA.2	0		NULL	1	weighted	weekly	2022-02-08T00:00:00.000
USA	2021-12-04T00:00:00.000	Other	0.001950807520188391	0.003409513738006353	0.001006580772809684	0	weighted	weekly	2022-02-08T00:00:00.000
USA	2021-12-11T00:00:00.000	B.1.1.529	0.07374754548072815	0.1056180000305176	0.0490809753537178	0	weighted	weekly	2022-02-08T00:00:00.000
USA	2021-12-11T00:00:00.000	B.1.617.2	0.9241281747817993	0.9491457343101501	0.891960084438324	0	weighted	weekly	2022-02-08T00:00:00.000
USA	2021-12-11T00:00:00.000	BA.2	0		NULL	1	weighted	weekly	2022-02-08T00:00:00.000
USA	2021-12-11T00:00:00.000	Other	0.002124277874827385	0.003157756756991148	0.001362268347293139	0	weighted	weekly	2022-02-08T00:00:00.000
USA	2021-12-18T00:00:00.000	B.1.1.529	0.379286915063858	0.4301970601081848	0.3302747011184692	0	weighted	weekly	2022-02-08T00:00:00.000
USA	2021-12-18T00:00:00.000	B.1.617.2	0.6168062090873718	0.6658026576042175	0.5659840703010559	0	weighted	weekly	2022-02-08T00:00:00.000
USA	2021-12-18T00:00:00.000	BA.2	0		NULL	1	weighted	weekly	2022-02-08T00:00:00.000
USA	2021-12-18T00:00:00.000	Other	0.003906884230673313	0.005522165913134813	0.002667128574103117	0	weighted	weekly	2022-02-08T00:00:00.000
USA	2021-12-25T00:00:00.000	B.1.1.529	0.7411418557167053	0.7835086584091187	0.6951455473899841	0	weighted	weekly	2022-02-08T00:00:00.000
USA	2021-12-25T00:00:00.000	B.1.617.2	0.252423882484436	0.2973203063011169	0.2111318409442902	0	weighted	weekly	2022-02-08T00:00:00.000
USA	2021-12-25T00:00:00.000	BA.2	0.00001758087637426797	0.0001155727950390428	1.928093809056008e-07	1	weighted	weekly	2022-02-08T00:00:00.000
USA	2021-12-25T00:00:00.000	Other	0.006416702177375555	0.009664561599493027	0.004043940920382738	0	weighted	weekly	2022-02-08T00:00:00.000
USA	2022-01-01T00:00:00.000	B.1.1.529	0.892059326171875	0.9078888297080994	0.8745519518852234	0	weighted	weekly	2022-02-08T00:00:00.000
USA	2022-01-01T00:00:00.000	B.1.617.2	0.0969826951622963	0.1137008592486382	0.08197991549968719	0	weighted	weekly	2022-02-08T00:00:00.000
USA	2022-01-01T00:00:00.000	BA.2	0.00006515524728456512	0.0002241321781184524	9.016259355121292e-06	1	weighted	weekly	2022-02-08T00:00:00.000
USA	2022-01-01T00:00:00.000	Other	0.01089283730834723	0.01613866537809372	0.007005645427852869	0	weighted	weekly	2022-02-08T00:00:00.000
USA	2022-01-08T00:00:00.000	B.1.1.529	0.9518679976463318	0.9603776931762695	0.9421473145484924	0	weighted	weekly	2022-02-08T00:00:00.000
USA	2022-01-08T00:00:00.000	B.1.617.2	0.04396394267678261	0.05332649871706963	0.03582756221294403	0	weighted	weekly	2022-02-08T00:00:00.000
USA	2022-01-08T00:00:00.000	BA.2	0.0003355657972861081	0.0006040252628736198	0.0001660420966800302	1	weighted	weekly	2022-02-08T00:00:00.000
USA	2022-01-08T00:00:00.000	Other	0.003832483198493719	0.006927044130861759	0.001882454846054316	1	weighted	weekly	2022-02-08T00:00:00.000
USA	2022-01-15T00:00:00.000	B.1.1.529	0.9793577194213867	0.9829879403114319	0.9751954078674316	0	weighted	weekly	2022-02-08T00:00:00.000
USA	2022-01-15T00:00:00.000	B.1.617.2	0.0178175400942564	0.0216591227799654	0.01449741888791323	0	weighted	weekly	2022-02-08T00:00:00.000
USA	2022-01-15T00:00:00.000	BA.2	0.001086078467778862	0.001822307356633246	0.0005935670924372971	0	weighted	weekly	2022-02-08T00:00:00.000
USA	2022-01-15T00:00:00.000	Other	0.001738681574352086	0.002958490047603846	0.0009317309013567865	0	weighted	weekly	2022-02-08T00:00:00.000
USA	2022-01-22T00:00:00.000	B.1.1.529	0.9888678789138794	0.9911870360374451	0.9861311912536621	0	weighted	weekly	2022-02-08T00:00:00.000
USA	2022-01-22T00:00:00.000	B.1.617.2	0.006986915599554777	0.01055607944726944	0.004385394509881735	0	weighted	weekly	2022-02-08T00:00:00.000
USA	2022-01-22T00:00:00.000	BA.2	0.004145185928791761	0.006175744347274303	0.002649855567142367	0	weighted	weekly	2022-02-08T00:00:00.000
USA	2022-01-22T00:00:00.000	Other	0		NULL	1	weighted	weekly	2022-02-08T00:00:00.000
